aX,aY,aZ,gX,gY,gZ
-0.314,-0.146,0.966,-5.798,-12.268,36.560
-0.307,-0.148,0.928,-7.507,-14.771,35.522
-0.310,-0.137,0.897,-9.766,-17.212,33.997
-0.320,-0.119,0.886,-11.292,-19.165,33.691
-0.341,-0.106,0.882,-12.024,-22.095,34.302
-0.356,-0.126,0.878,-12.268,-22.949,35.645
-0.370,-0.120,0.855,-14.160,-21.851,35.278
-0.367,-0.120,0.854,-16.113,-20.569,37.537
-0.363,-0.126,0.854,-17.944,-26.306,40.405
-0.355,-0.124,0.870,-16.846,-28.442,44.373
-0.344,-0.125,0.910,-14.099,-30.334,49.011
-0.353,-0.140,0.959,-10.498,-30.762,52.551
-0.351,-0.162,0.982,-9.521,-28.259,52.734
-0.335,-0.190,0.993,-8.484,-25.085,49.316
-0.332,-0.160,0.934,-8.484,-22.888,42.847
-0.323,-0.164,0.906,-8.484,-15.808,42.603
-0.299,-0.155,0.878,-8.301,-11.841,42.786
-0.296,-0.154,0.848,-9.766,-9.766,43.091
-0.293,-0.151,0.838,-11.536,-6.592,43.701
-0.262,-0.132,0.826,-15.015,-3.784,47.974
-0.235,-0.116,0.827,-15.503,-3.357,53.772
-0.225,-0.089,0.865,-12.634,-3.113,56.885
-0.208,-0.071,0.887,-9.705,-1.770,59.265
-0.197,-0.065,0.904,-6.470,0.549,61.096
-0.183,-0.071,0.900,-4.578,2.991,61.340
-0.179,-0.087,0.891,-2.319,5.249,62.195
-0.169,-0.105,0.874,-2.808,5.920,62.683
-0.143,-0.108,0.860,-4.395,4.578,62.683
-0.117,-0.106,0.862,-4.578,2.197,62.805
-0.113,-0.121,0.880,-4.333,1.587,63.538
-0.122,-0.141,0.902,-6.409,0.977,64.026
-0.128,-0.145,0.907,-9.766,1.587,62.988
-0.126,-0.147,0.893,-12.756,2.625,63.049
-0.118,-0.151,0.862,-16.296,4.028,63.049
-0.099,-0.139,0.838,-21.301,4.333,61.035
-0.087,-0.126,0.824,-24.658,3.723,58.655
-0.090,-0.120,0.831,-23.132,1.221,57.434
-0.095,-0.132,0.849,-20.630,-1.404,56.885
-0.110,-0.148,0.889,-18.005,-3.113,55.176
-0.121,-0.172,0.917,-16.479,-2.563,54.199
-0.124,-0.187,0.919,-15.381,-1.221,53.040
-0.117,-0.197,0.902,-13.428,-0.610,52.185
-0.110,-0.216,0.892,-13.000,-0.305,51.453
-0.117,-0.224,0.890,-13.794,-1.343,49.133
-0.110,-0.223,0.884,-16.846,-1.770,46.326
-0.110,-0.207,0.886,-19.714,-2.136,42.542
-0.114,-0.193,0.878,-21.851,-2.075,40.833
-0.113,-0.196,0.865,-23.254,-1.709,39.429
-0.118,-0.196,0.858,-23.132,-2.136,38.635
-0.121,-0.187,0.876,-21.667,-3.174,38.635
-0.117,-0.182,0.902,-21.362,-3.723,37.964
-0.119,-0.181,0.928,-19.348,-4.028,37.903
-0.128,-0.191,0.953,-16.846,-2.808,38.757
-0.124,-0.192,0.949,-15.198,-2.136,38.330
-0.125,-0.178,0.954,-12.390,-1.038,38.208
-0.130,-0.180,0.945,-10.193,2.686,38.818
-0.125,-0.178,0.920,-8.545,0.977,37.842
-0.130,-0.175,0.921,-9.216,-0.854,35.461
-0.137,-0.182,0.917,-11.597,-1.892,33.630
-0.145,-0.194,0.917,-11.475,-2.991,33.508
-0.149,-0.202,0.929,-10.620,-5.066,34.119
-0.144,-0.195,0.931,-12.146,-5.798,33.325
-0.147,-0.181,0.938,-13.123,-5.371,32.166

1.554,-0.679,1.310,46.204,-43.518,-22.461
1.589,-0.656,1.313,39.795,-37.903,-40.955
1.607,-0.589,1.279,28.870,-26.489,-72.327
1.520,-0.531,1.259,26.733,-24.414,-99.060
1.336,-0.505,1.250,33.386,-20.386,-115.967
1.186,-0.498,1.183,49.805,-11.475,-124.329
1.022,-0.486,1.064,58.289,-5.249,-134.033
0.823,-0.474,0.917,53.833,-5.981,-145.142
0.581,-0.470,0.802,46.570,-17.822,-151.123
0.303,-0.411,0.673,41.016,-27.344,-156.860
-0.017,-0.360,0.711,32.593,-32.593,-163.330
-0.294,-0.327,0.788,8.789,-30.884,-174.255
-0.483,-0.333,0.877,-14.648,-12.939,-183.228
-0.625,-0.320,0.920,-31.067,8.728,-191.895
-0.682,-0.328,0.869,-31.799,20.630,-192.383
-0.715,-0.360,0.774,-17.334,23.499,-190.125
-0.777,-0.411,0.658,6.775,16.418,-188.416
-0.870,-0.479,0.584,26.428,8.911,-184.021
-0.976,-0.521,0.559,36.194,4.150,-178.284
-1.042,-0.501,0.614,30.640,3.845,-170.349
-1.092,-0.434,0.697,13.184,4.822,-159.485
-1.109,-0.297,0.787,-2.319,10.376,-148.437
-1.115,-0.120,0.849,-10.254,15.442,-137.207
-1.075,0.023,0.782,-9.277,19.043,-122.131
-1.026,0.114,0.690,6.287,17.883,-106.628
-0.993,0.125,0.645,24.902,13.916,-92.285
-0.971,0.040,0.634,33.508,13.367,-81.482
-0.951,-0.074,0.658,28.625,14.771,-73.669
-0.898,-0.150,0.701,21.545,17.151,-63.354
-0.863,-0.231,0.778,23.499,19.165,-49.927
